127.0.0.1 - - [05/Dec/2020:23:06:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:06:15 +0900] "GET /bootstrap/day07_01-visibleon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:06:16 +0900] "GET /bootstrap/assets/css/nanumfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:06:16 +0900] "GET /bootstrap/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:12:29 +0900] "GET /bootstrap/day07_02-mediaquery.html HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:23:12 +0900] "GET /bootstrap/day07_03-grid(1).html HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:29:12 +0900] "GET /bootstrap/day07_04-grid(2).html HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:30:22 +0900] "GET /bootstrap/day07_03-grid(1).html HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:30:22 +0900] "GET /bootstrap/css/grid.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:30:56 +0900] "GET /bootstrap/day07_03-grid(1).html HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:30:56 +0900] "GET /css/grid.css HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:31:41 +0900] "GET /bootstrap/day07_03-grid(1).html HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:31:42 +0900] "GET /bootstrap/assets/css/grid.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:35:05 +0900] "GET /bootstrap/day07_03-grid(1).html HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:35:06 +0900] "GET /bootstrap/assets/css/grid.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:35:45 +0900] "GET /bootstrap/day07_02-mediaquery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:35:55 +0900] "GET /bootstrap/day07_03-grid(1).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:35:56 +0900] "GET /bootstrap/assets/css/grid.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:40:41 +0900] "GET /bootstrap/day07_05-grid(3).html HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:41:11 +0900] "GET /bootstrap/day07_05-grid(3).html HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [05/Dec/2020:23:41:11 +0900] "GET /bootstrap/assets/css/grid.css HTTP/1.1" 304 -
